"row_id","icd9_code","short_title","long_title"
"1",174,"01166","TB pneumonia-oth test","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"2",175,"01170","TB pneumothorax-unspec","Tuberculous pneumothorax, unspecified"
"3",176,"01171","TB pneumothorax-no exam","Tuberculous pneumothorax, bacteriological or histological examination not done"
"4",177,"01172","TB pneumothorx-exam unkn","Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
"5",178,"01173","TB pneumothorax-micro dx","Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
"6",179,"01174","TB pneumothorax-cult dx","Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"7",180,"01175","TB pneumothorax-histo dx","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"8",181,"01176","TB pneumothorax-oth test","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"9",182,"01180","Pulmonary TB NEC-unspec","Other specified pulmonary tuberculosis, unspecified"
"10",183,"01181","Pulmonary TB NEC-no exam","Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
"11",184,"01182","Pulmon TB NEC-exam unkn","Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
"12",185,"01183","Pulmon TB NEC-micro dx","Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"13",186,"01184","Pulmon TB NEC-cult dx","Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"14",187,"01185","Pulmon TB NEC-histo dx","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"15",188,"01186","Pulmon TB NEC-oth test","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"16",189,"01190","Pulmonary TB NOS-unspec","Pulmonary tuberculosis, unspecified, unspecified"
