"","HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common name","Female maturity (days)","Male maturity (days)","Gestation/Incubation (days)","Weaning (days)","Litter/Clutch size","Litters/Clutches per year","Inter-litter/Interbirth interval","Birth weight (g)","Weaning weight (g)","Adult weight (g)","Growth rate (1/days)","Maximum longevity (yrs)","Source","Specimen origin","Sample size","Data quality","IMR (per yr)","MRDT (yrs)","Metabolic rate (W)","Body mass (g)","Temperature (K)","References"
"1","00003","Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae","Daphnia","pulicaria","Daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,"unknown","medium","acceptable",NA,NA,NA,NA,NA,"1294,1295,1296"
"2","00005","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","melanogaster","Fruit fly",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,"captivity","large","acceptable",0.05,0.04,NA,NA,NA,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
"3","00006","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","mellifera","Honey bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"812","unknown","medium","acceptable",NA,NA,NA,NA,NA,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166"
"4","00008","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","obscurior","Cardiocondyla obscurior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"1293","captivity","medium","acceptable",NA,NA,NA,NA,NA,"1293"
"5","00009","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","niger","Black garden ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"411","unknown","medium","acceptable",NA,NA,NA,NA,NA,"411,813,814"
"6","00010","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","dentata","Pheidole dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"1156","captivity","medium","questionable",NA,NA,NA,NA,NA,"1156"
"7","00011","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Bicyclus","anynana","Squinting bush brown",15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"811","wild","medium","acceptable",NA,NA,NA,NA,NA,"418,809,811"
"8","00012","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","americanus","American lobster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"2","wild","medium","acceptable",NA,NA,NA,NA,NA,"2,13,594"
"9","00015","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","bombina","Firebelly toad",1095,1095,NA,NA,190,NA,NA,NA,NA,NA,NA,20,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,525,749"
"10","00016","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","orientalis","Oriental firebelly toad",NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,15.8,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,525,749"
