PracticeCode,Practice name,CCGCode,ListSize,AF,AFAchievement,BPAchievement,CVD,CVDAchievement,CHD,CHDAchievemen,HF,HFAchievement,HYP,HYPAchievement,PAD,PAdAchievement
B82007,TOWNHEAD SURGERY,E38000001,9376,235,100.00,100.00,49,100.00,383,100.00,119,100.00,1697,100.00,85,100.00
B82020,CROSSHILLS GROUP PRACTICE,E38000001,12151,308,100.00,100.00,37,100.00,536,100.00,147,100.00,1871,100.00,104,100.00
B82028,FISHER MEDICAL CENTRE,E38000001,14141,327,100.00,100.00,39,100.00,576,99.94,143,100.00,2189,100.00,123,100.00
B82053,DYNELEY HOUSE SURGERY,E38000001,11754,249,100.00,100.00,47,100.00,435,98.91,86,100.00,1885,100.00,111,100.00
B83002,ILKLEY & WHARFEDALE MEDICAL PRACTICE,E38000001,4390,78,99.83,80.67,26,100.00,186,100.00,32,100.00,639,100.00,24,97.17
B83006,SILSDEN & STEETON MEDICAL PRACTICE,E38000001,11051,273,100.00,95.80,71,100.00,542,100.00,144,100.00,1733,100.00,107,99.67
B83008,LING HOUSE MEDICAL CENTRE,E38000001,11542,169,100.00,98.13,40,100.00,413,94.89,124,100.00,1245,97.73,90,94.67
B83019,GRANGE PARK SURGERY,E38000001,6590,130,100.00,100.00,37,100.00,231,94.89,40,100.00,1023,100.00,34,100.00
B83021,FARFIELD GROUP PRACTICE,E38000001,12714,252,100.00,95.53,70,100.00,565,85.11,160,91.62,1686,91.73,116,84.50
B83023,HOLYCROFT SURGERY,E38000001,10266,219,100.00,88.87,40,100.00,427,99.17,112,100.00,1296,100.00,75,100.00
B83027,HAWORTH MEDICAL PRACTICE,E38000001,9272,194,96.24,100.00,58,100.00,357,93.14,72,100.00,1406,100.00,50,100.00
B83033,KILMENY SURGERY,E38000001,13242,241,100.00,94.00,79,100.00,534,92.17,102,100.00,1961,100.00,141,100.00
B83061,OAKWORTH MEDICAL PRACTICE,E38000001,3471,71,100.00,100.00,12,100.00,120,100.00,20,100.00,594,100.00,24,100.00
B83602,NORTH STREET MEDICAL PRACTICE,E38000001,6753,17,100.00,100.00,28,100.00,154,93.23,37,99.83,476,100.00,9,95.50
