Cell line	Transcriptional subtype	Transcriptional subtype + ERBB2 status	ExomeSeq availability	RNASeq availability	Exon array availability	U133A availability	SNP6 availability	Methylation availability	RPPA availability	Included in drug analyses	17-AAG	5-FU	5-FdUR	AG1478	Sigma AKT1-2 inhibitor	Triciribine	AS-252424	AZD6244	BEZ235	BIBW2992	Baicalein	Bortezomib	CGC-11047	CGC-11144	CPT-11	Carboplatin	Cisplatin	Disulfiram	Docetaxel	Doxorubicin	ERKi II (FR180304)	Epirubicin	Erlotinib	Etoposide	Everolimus	FTase inhibitor I	Fascaplysin	GSK923295	GSK1070916	GSK1120212	GSK1059868	GSK1838705	GSK461364	GSK2119563	GSK2126458	GSK2141795	GSK1059615	GSK650394	Lapatinib	Geldanamycin	Gemcitabine	Glycyl H1152	ICRF-193	IKK 16	Ibandronate sodium salt	Imatinib	Gefitinib	Ixabepilone	LBH589	Lestaurtinib(CEP-701)	MG-132	MLN4924	Mebendazole	Methotrexate	NSC663284	NU6102	Nelfinavir	Nutlin 3a	Olomoucine II	Oxaliplatin	Oxamflatin	PD98059	PF-2341066	PF-3084014	PF-3814735	PF-4691502	Paclitaxel	Pemetrexed	Purvalanol A	L-779450	Rapamycin	Vorinostat	SB-3CT	Ispinesib	Bosutinib	Sorafenib	Sunitinib Malate	TCS PIM-11	TCS2312 dihydrochloride	Topotecan	Tamoxifen	Temsirolimus	Trichostatin A	Tykerb:IGF1R (1:1)	VX-680	Valproic acid	Velcade	Vinorelbine	XRP44X	ZM447439
184A1	Normal-like	Normal-like	1	1	1	0	1	0	1	1	7.93	3.88	3.67	NA	5.58	6.34	5.43	6.50	7.19	7.74	3.78	8.18	3.20	6.32	5.44	4.90	5.53	4.90	6.13	6.95	4.61	6.68	6.64	5.08	6.16	4.18	6.40	5.10	6.10	8.67	4.98	6.40	5.18	7.02	8.77	NA	7.78	5.95	5.86	8.41	6.16	4.18	4.30	6.05	3.81	4.86	4.48	6.67	6.56	5.87	7.73	6.24	4.18	7.18	5.82	5.22	5.48	5.46	5.50	5.89	5.86	4.30	5.78	5.87	5.66	6.96	7.35	6.38	4.62	5.06	6.72	3.87	3.78	5.84	6.30	5.53	5.37	5.16	6.24	6.88	3.78	6.30	4.73	6.99	5.64	3.00	8.86	NA	6.50	4.30
184B5	Normal-like	Normal-like	1	1	1	0	1	0	1	1	7.56	1.72	3.65	NA	5.56	6.25	4.65	6.90	NA	7.22	3.78	8.33	3.13	5.62	5.66	5.29	3.30	4.93	8.39	NA	4.89	8.25	6.32	5.06	5.55	4.18	6.53	5.17	6.19	NA	4.48	6.32	6.69	6.50	8.23	NA	NA	5.97	5.24	8.01	6.14	4.18	4.48	5.83	3.62	4.63	7.43	6.76	6.99	6.49	7.79	6.93	4.18	7.37	5.57	5.39	5.33	5.30	5.53	5.57	6.06	4.30	5.42	4.86	5.48	6.65	7.74	6.44	5.52	5.45	4.48	3.84	3.78	6.05	6.26	5.48	5.28	5.61	6.30	7.16	NA	5.29	4.34	6.97	5.74	3.07	8.19	NA	6.55	4.30
21NT	Basal	ERBB2-amp	1	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.08	NA	NA	NA	4.57	NA	NA	NA	NA	NA	5.18	4.18	5.54	5.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
600MPE	Luminal	Luminal	1	1	1	1	1	1	1	1	6.65	4.11	5.81	4.11	5.15	5.43	5.19	6.24	4.48	5.63	3.78	6.85	3.68	6.49	4.71	3.82	4.33	7.10	7.61	6.69	4.65	NA	4.30	5.26	4.70	4.48	6.55	4.48	5.10	8.17	5.09	6.49	5.16	6.23	8.22	NA	6.31	4.18	4.78	7.43	7.64	4.18	4.30	5.11	3.67	4.62	5.21	8.53	6.72	5.77	6.30	6.49	5.00	5.39	5.34	NA	5.05	4.81	5.23	4.89	5.53	4.30	6.21	4.18	6.03	7.32	7.51	2.53	4.15	5.07	5.12	4.18	4.00	7.69	5.27	4.36	5.40	3.88	5.95	NA	4.35	4.74	5.19	7.30	5.06	2.52	5.95	5.97	3.88	4.00
AU565	Luminal	ERBB2-amp	1	1	1	1	1	1	1	1	7.24	4.69	4.97	4.79	5.61	6.87	4.88	4.30	6.59	NA	4.38	8.32	3.33	6.31	5.83	4.95	5.72	6.84	8.30	7.03	4.48	6.84	4.93	6.20	NA	4.48	6.95	7.62	5.52	5.01	5.18	5.63	8.58	6.25	8.10	6.09	6.32	4.48	6.40	7.35	7.81	5.14	6.14	5.58	3.74	4.72	5.97	8.42	6.98	6.07	7.05	6.74	6.96	5.36	5.81	4.64	4.48	4.79	5.33	5.56	6.19	5.12	5.55	4.98	5.57	7.51	8.14	2.53	4.39	4.48	7.62	4.08	4.00	7.65	5.67	3.94	5.42	4.18	6.56	7.73	4.06	NA	5.44	6.65	5.66	2.85	8.08	8.24	6.35	5.82
BT20	Basal	Basal	1	0	1	1	1	1	1	1	NA	NA	3.49	NA	5.09	5.26	4.93	4.30	5.60	5.56	4.05	7.33	NA	6.66	NA	NA	NA	7.30	NA	NA	4.55	NA	5.70	5.48	NA	4.48	6.51	NA	NA	NA	4.77	4.86	NA	5.97	7.80	5.25	NA	4.48	4.78	NA	NA	5.18	4.30	5.42	4.69	4.89	NA	8.45	6.41	5.53	6.37	5.70	6.19	3.48	5.49	NA	5.16	4.41	5.43	NA	5.42	4.45	5.42	4.76	5.90	5.44	NA	2.53	4.57	4.62	7.17	3.74	4.21	7.77	5.89	4.20	4.79	3.88	5.73	NA	NA	6.18	4.68	5.87	5.34	2.44	8.17	NA	5.29	5.33
BT474	Luminal	ERBB2-amp	1	1	1	1	1	1	1	1	5.84	3.75	3.37	6.17	6.08	6.17	5.41	4.30	6.65	8.23	4.30	8.24	4.24	6.02	4.69	3.97	4.42	4.18	8.20	6.51	4.69	5.17	4.98	4.63	7.52	4.18	6.73	5.46	5.20	4.78	5.10	5.08	5.07	6.82	8.36	7.16	6.80	4.18	6.40	7.84	4.88	4.18	4.30	5.27	3.98	4.52	6.14	8.42	7.46	6.61	6.75	6.24	6.50	3.48	5.56	4.79	4.90	4.80	5.20	4.73	6.57	4.58	5.11	4.37	5.22	6.91	7.99	2.53	3.78	4.79	7.62	4.27	4.99	7.29	5.71	4.16	4.78	3.88	6.21	5.60	5.62	7.57	5.01	6.64	4.84	3.03	6.84	7.32	4.61	4.29
BT483	Luminal	Luminal	1	1	1	1	1	1	1	1	6.68	4.48	4.15	3.78	6.20	6.91	4.77	4.30	5.87	5.78	4.44	7.44	3.27	6.25	5.22	5.82	4.05	4.18	7.65	7.00	4.45	6.78	4.78	5.37	5.55	4.48	7.18	6.44	5.35	4.78	5.37	5.49	5.35	7.47	8.94	NA	6.80	4.48	4.78	6.84	8.05	NA	4.30	NA	4.24	3.82	5.21	5.27	7.14	6.21	6.81	5.53	5.67	3.63	6.19	NA	5.01	5.19	5.24	4.56	6.27	4.52	NA	NA	NA	NA	7.00	2.53	4.40	4.84	8.78	4.23	4.59	6.08	5.43	4.92	4.73	3.88	6.20	7.38	5.47	6.57	5.00	6.29	5.44	3.01	9.00	8.14	5.23	4.56
BT549	Claudin-low	Claudin-low	1	1	1	1	1	1	1	1	7.51	4.01	3.57	4.33	5.08	5.01	4.48	4.30	4.48	5.87	4.64	8.21	4.73	6.53	5.47	4.61	5.60	6.89	8.46	6.94	4.00	6.70	4.39	5.89	6.88	4.18	6.28	7.30	5.71	5.55	4.62	5.21	7.48	5.38	7.32	5.45	5.73	4.48	4.78	8.22	8.08	5.01	4.30	5.40	4.53	4.45	4.86	8.26	6.91	6.19	7.04	6.54	6.30	3.48	5.80	4.60	4.99	4.37	5.66	5.81	5.96	4.36	5.44	4.18	5.47	6.38	8.16	2.53	3.78	4.48	5.33	3.83	5.17	7.34	5.95	4.08	5.29	3.88	6.27	7.62	3.78	6.61	5.13	5.91	5.75	2.57	8.79	8.02	5.83	5.47
CAMA1	Luminal	Luminal	1	1	1	1	1	1	1	1	6.60	3.51	4.36	4.46	5.17	5.18	4.18	4.30	6.67	5.65	4.39	7.90	2.91	6.43	4.84	3.72	4.39	4.85	NA	6.58	4.00	NA	4.18	5.31	8.15	4.48	6.61	7.33	5.05	4.78	4.99	5.08	5.17	4.75	7.08	7.02	5.77	4.18	4.78	7.47	6.79	4.48	4.30	5.57	3.82	4.71	NA	9.02	7.30	5.42	6.69	7.29	6.33	6.97	5.59	4.79	5.37	4.34	5.30	5.02	6.09	4.32	5.23	4.18	5.44	6.74	7.95	4.62	3.87	4.40	7.82	4.13	4.00	7.51	5.11	4.22	5.07	3.88	6.15	6.40	4.46	NA	5.57	5.73	4.53	2.79	8.09	7.88	6.01	5.02
