"row_id","icd9_code","short_title","long_title"
"1",264,"0851","Canthotomy","Canthotomy"
"2",265,"0852","Blepharorrhaphy","Blepharorrhaphy"
"3",266,"0859","Adjust lid position NEC","Other adjustment of lid position"
"4",267,"0861","Lid reconst w skin graft","Reconstruction of eyelid with skin flap or graft"
"5",268,"0862","Lid reconst w muc graft","Reconstruction of eyelid with mucous membrane flap or graft"
"6",269,"0863","Lid reconst w hair graft","Reconstruction of eyelid with hair follicle graft"
"7",270,"0864","Lid recon-tarsoconj flap","Reconstruction of eyelid with tarsoconjunctival flap"
"8",271,"0869","Lid reconstr w graft NEC","Other reconstruction of eyelid with flaps or grafts"
"9",272,"0870","Lid reconstruction NOS","Reconstruction of eyelid, not otherwise specified"
"10",273,"0871","Lid marg recon-part thic","Reconstruction of eyelid involving lid margin, partial-thickness"
"11",274,"0872","Lid recons-part thic NEC","Other reconstruction of eyelid, partial-thickness"
"12",275,"0873","Lid marg recons ful thic","Reconstruction of eyelid involving lid margin, full-thickness"
"13",276,"0874","Lid reconst-ful thic NEC","Other reconstruction of eyelid, full-thickness"
"14",277,"0881","Linear rep lid lacer","Linear repair of laceration of eyelid or eyebrow"
"15",278,"0882","Lid marg lac rx-part th","Repair of laceration involving lid margin, partial-thickness"
"16",279,"0883","Lid lacer rx-prt th NEC","Other repair of laceration of eyelid, partial-thickness"
"17",280,"0884","Lid marg lac rx-ful thic","Repair of laceration involving lid margin, full-thickness"
"18",281,"0885","Lid lac rx-ful thic NEC","Other repair of laceration of eyelid, full-thickness"
"19",282,"0886","Lower lid rhytidectomy","Lower eyelid rhytidectomy"
"20",283,"0887","Upper lid rhytidectomy","Upper eyelid rhytidectomy"
"21",284,"0889","Eyelid repair NEC","Other eyelid repair"
"22",285,"0891","Electrosurg lid epilat","Electrosurgical epilation of eyelid"
"23",286,"0892","Cryosurg lid epilation","Cryosurgical epilation of eyelid"
"24",287,"0893","Eyelid epilation NEC","Other epilation of eyelid"
"25",288,"0899","Eyelid operation NEC","Other operations on eyelids"
"26",289,"090","Lacrimal gland incision","Incision of lacrimal gland"
"27",290,"0911","Lacrimal gland biopsy","Biopsy of lacrimal gland"
"28",291,"0912","Lacrimal sac biopsy","Biopsy of lacrimal sac"
"29",292,"0919","Lacrimal sys dx proc NEC","Other diagnostic procedures on lacrimal system"
"30",293,"0920","Exc lacrimal gland NOS","Excision of lacrimal gland, not otherwise specified"
"31",294,"0921","Excis les lacrimal gland","Excision of lesion of lacrimal gland"
"32",295,"0922","Part dacryoadenect NEC","Other partial dacryoadenectomy"
"33",296,"0923","Total dacryoadenectomy","Total dacryoadenectomy"
"34",297,"093","Other lacrimal gland ops","Other operations on lacrimal gland"
"35",298,"0941","Lacrimal punctum probe","Probing of lacrimal punctum"
"36",299,"0942","Lac canaliculi probe","Probing of lacrimal canaliculi"
"37",300,"0943","Nasolacrimal duct probe","Probing of nasolacrimal duct"
"38",301,"0944","Nasolac duct intubat","Intubation of nasolacrimal duct"
"39",302,"0949","Lac passage manip NEC","Other manipulation of lacrimal passage"
"40",303,"0951","Lac punctum incision","Incision of lacrimal punctum"
"41",304,"0952","Lac canaliculi incision","Incision of lacrimal canaliculi"
"42",305,"0953","Lacrimal sac incision","Incision of lacrimal sac"
"43",306,"0959","Lacrim passage incis NEC","Other incision of lacrimal passages"
"44",307,"096","Lacrim sac/passage excis","Excision of lacrimal sac and passage"
"45",308,"0971","Correct everted punctum","Correction of everted punctum"
"46",309,"0972","Punctum repair NEC","Other repair of punctum"
"47",310,"0973","Canaliculus repair","Repair of canaliculus"
"48",311,"0981","Dacryocystorhinostomy","Dacryocystorhinostomy [DCR]"
"49",312,"0982","Conjunctivocystorhinost","Conjunctivocystorhinostomy"
"50",313,"0983","Conjunctivorhinos w tube","Conjunctivorhinostomy with insertion of tube or stent"
"51",314,"0411","Clos periph nerve biopsy","Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion"
"52",315,"0412","Open periph nerve biopsy","Open biopsy of cranial or peripheral nerve or ganglion"
"53",316,"0419","Periph nerve dx proc NEC","Other diagnostic procedures on cranial and peripheral nerves and ganglia"
"54",317,"042","Periph nerve destruction","Destruction of cranial and peripheral nerves"
"55",318,"043","Peripheral nerve suture","Suture of cranial and peripheral nerves"
"56",319,"0441","Decompress trigem root","Decompression of trigeminal nerve root"
"57",320,"0442","Cran nerv root decom NEC","Other cranial nerve decompression"
"58",321,"0443","Carpal tunnel release","Release of carpal tunnel"
"59",322,"0444","Tarsal tunnel release","Release of tarsal tunnel"
"60",323,"0449","Per nerve adhesiolys NEC","Other peripheral nerve or ganglion decompression or lysis of adhesions"
"61",324,"045","Peripheral nerve graft","Cranial or peripheral nerve graft"
"62",325,"046","Periph nerve transposit","Transposition of cranial and peripheral nerves"
"63",326,"0471","Hypogloss-facial anastom","Hypoglossal-facial anastomosis"
"64",327,"0472","Accessory-facial anastom","Accessory-facial anastomosis"
"65",328,"0473","Access-hypogloss anastom","Accessory-hypoglossal anastomosis"
"66",329,"0474","Periph nerv anastom NEC","Other anastomosis of cranial or peripheral nerve"
"67",330,"0475","Postop revis per nerv op","Revision of previous repair of cranial and peripheral nerves"
"68",331,"0476","Late repair per nerv inj","Repair of old traumatic injury of cranial and peripheral nerves"
"69",332,"0479","Other neuroplasty","Other neuroplasty"
"70",333,"0480","Periph nerve inject NOS","Peripheral nerve injection, not otherwise specified"
"71",334,"0481","Anesth injec periph nerv","Injection of anesthetic into peripheral nerve for analgesia"
"72",335,"0489","Periph nerve inject NEC","Injection of other agent, except neurolytic"
"73",336,"0491","Neurectasis","Neurectasis"
"74",337,"0492","Imp/repl peri stim lead","Implantation or replacement of peripheral neurostimulator lead(s)"
"75",338,"0493","Removal peri stim lead","Removal of peripheral neurostimulator lead(s)"
"76",339,"0499","Peripheral nerve ops NEC","Other operations on cranial and peripheral nerves"
"77",340,"050","Sympath nerve division","Division of sympathetic nerve or ganglion"
"78",341,"0511","Sympathetic nerve biopsy","Biopsy of sympathetic nerve or ganglion"
"79",342,"0519","Sympath nrv dx proc NEC","Other diagnostic procedures on sympathetic nerves or ganglia"
"80",343,"0521","Sphenopalatin ganglionec","Sphenopalatine ganglionectomy"
"81",344,"0522","Cervical sympathectomy","Cervical sympathectomy"
"82",345,"0523","Lumbar sympathectomy","Lumbar sympathectomy"
"83",346,"0524","Presacral sympathectomy","Presacral sympathectomy"
"84",347,"0525","Periart sympathectomy","Periarterial sympathectomy"
"85",348,"0529","Other sympathectomy","Other sympathectomy and ganglionectomy"
