"row_id","itemid","label","abbreviation","dbsource","linksto","category","unitname","param_type","conceptid"
"1",457,497,"Patient controlled analgesia (PCA) [Inject]",NA,"carevue","chartevents",NA,NA,NA,NA
"2",458,498,"PCA Lockout (Min)",NA,"carevue","chartevents",NA,NA,NA,NA
"3",459,499,"PCA Medication",NA,"carevue","chartevents",NA,NA,NA,NA
"4",460,500,"PCA Total Dose",NA,"carevue","chartevents",NA,NA,NA,NA
"5",461,501,"PCV Exh Vt (Obser)",NA,"carevue","chartevents",NA,NA,NA,NA
"6",1157,927,"Allergy 2",NA,"carevue","chartevents",NA,NA,NA,NA
"7",1158,930,"Ext",NA,"carevue","chartevents",NA,NA,NA,NA
"8",1159,935,"Allergy 3",NA,"carevue","chartevents",NA,NA,NA,NA
"9",1160,938,"blood cultures",NA,"carevue","chartevents",NA,NA,NA,NA
"10",1161,940,"trach care",NA,"carevue","chartevents",NA,NA,NA,NA
"11",1162,941,"urine culture",NA,"carevue","chartevents",NA,NA,NA,NA
"12",1163,942,"BLOOD CULTURES",NA,"carevue","chartevents",NA,NA,NA,NA
"13",1164,944,"Chest PT",NA,"carevue","chartevents",NA,NA,NA,NA
"14",1165,946,"STV",NA,"carevue","chartevents",NA,NA,NA,NA
"15",1166,956,"CPT",NA,"carevue","chartevents",NA,NA,NA,NA
"16",1167,964,"THAM CC/HR",NA,"carevue","chartevents",NA,NA,NA,NA
"17",1168,968,"EKG",NA,"carevue","chartevents",NA,NA,NA,NA
"18",1169,970,"TRACH CARE",NA,"carevue","chartevents",NA,NA,NA,NA
"19",1170,972,"passy muir valve",NA,"carevue","chartevents",NA,NA,NA,NA
"20",1171,977,"TRACHE CARE",NA,"carevue","chartevents",NA,NA,NA,NA
"21",1172,981,"dilaudid",NA,"carevue","chartevents",NA,NA,NA,NA
"22",1173,983,"LEECH THERAPY",NA,"carevue","chartevents",NA,NA,NA,NA
"23",1174,986,"ABG Hct",NA,"carevue","chartevents",NA,NA,NA,NA
"24",1175,987,"Clot to Blood Bank",NA,"carevue","chartevents",NA,NA,NA,NA
