"row_id","itemid","label","fluid","category","loinc_code"
"1",546,51346,"Blasts","Cerebrospinal Fluid (CSF)","Hematology","26447-3"
"2",547,51347,"Eosinophils","Cerebrospinal Fluid (CSF)","Hematology","26451-5"
"3",548,51348,"Hematocrit, CSF","Cerebrospinal Fluid (CSF)","Hematology","30398-2"
"4",549,51349,"Hypersegmented Neutrophils","Cerebrospinal Fluid (CSF)","Hematology","26506-6"
"5",550,51350,"Immunophenotyping","Cerebrospinal Fluid (CSF)","Hematology",NA
"6",551,51351,"Lymphs","Cerebrospinal Fluid (CSF)","Hematology","26479-6"
"7",552,51352,"Macrophage","Cerebrospinal Fluid (CSF)","Hematology","30426-1"
"8",553,51353,"Mesothelial cells","Cerebrospinal Fluid (CSF)","Hematology","30429-5"
"9",554,51354,"Metamyelocytes","Cerebrospinal Fluid (CSF)","Hematology","30366-9"
"10",555,51355,"Monocytes","Cerebrospinal Fluid (CSF)","Hematology","26486-1"
"11",556,51356,"Myelocytes","Cerebrospinal Fluid (CSF)","Hematology","30447-7"
"12",557,51357,"NRBC","Cerebrospinal Fluid (CSF)","Hematology","48778-5"
"13",558,51358,"Other","Cerebrospinal Fluid (CSF)","Hematology",NA
"14",559,51359,"Plasma","Cerebrospinal Fluid (CSF)","Hematology","47413-0"
"15",560,51360,"Polys","Cerebrospinal Fluid (CSF)","Hematology","26517-3"
"16",561,51361,"Promyelocytes","Cerebrospinal Fluid (CSF)","Hematology",NA
"17",562,51362,"RBC, CSF","Cerebrospinal Fluid (CSF)","Hematology","26454-9"
"18",563,51363,"WBC, CSF","Cerebrospinal Fluid (CSF)","Hematology","26465-5"
"19",564,51364,"Young","Cerebrospinal Fluid (CSF)","Hematology",NA
"20",565,51365,"Atypical Lymphocytes","Joint Fluid","Hematology","33371-6"
"21",566,51366,"Bands","Joint Fluid","Hematology","33361-7"
"22",567,51367,"Basophils","Joint Fluid","Hematology","17833-5"
"23",568,51368,"Eosinophils","Joint Fluid","Hematology","17834-3"
"24",569,51369,"Hematocrit, Joint Fluid","Joint Fluid","Hematology",NA
"25",570,51370,"Joint Crystals, Birefringence","Joint Fluid","Hematology",NA
"26",571,51371,"Joint Crystals, Comment","Joint Fluid","Hematology",NA
"27",572,51372,"Joint Crystals, Location","Joint Fluid","Hematology",NA
"28",573,51373,"Joint Crystals, Number","Joint Fluid","Hematology",NA
"29",574,51374,"Joint Crystals, Shape","Joint Fluid","Hematology",NA
"30",575,51375,"Lymphocytes","Joint Fluid","Hematology","26483-8"
"31",576,51376,"Macrophage","Joint Fluid","Hematology","33376-5"
"32",577,51377,"Mesothelial Cells","Joint Fluid","Hematology","33365-8"
"33",578,51378,"Metamyelocytes","Joint Fluid","Hematology",NA
"34",579,51379,"Monocytes","Joint Fluid","Hematology","17835-0"
"35",580,51380,"NRBC","Joint Fluid","Hematology","48040-0"
"36",581,51381,"Other","Joint Fluid","Hematology",NA
"37",582,51382,"Polys","Joint Fluid","Hematology","26522-3"
"38",583,51383,"RBC, Joint Fluid","Joint Fluid","Hematology","26458-0"
"39",584,51384,"WBC, Joint Fluid","Joint Fluid","Hematology","26469-7"
"40",585,51385,"Atypical Lymphocytes","Other Body Fluid","Hematology","30417-0"
"41",586,51386,"Bands","Other Body Fluid","Hematology","26510-8"
"42",587,51387,"Basophils","Other Body Fluid","Hematology","28543-7"
"43",588,51388,"CD10","Other Body Fluid","Hematology","51217-8"
"44",589,51389,"CD103","Other Body Fluid","Hematology",NA
"45",590,51390,"CD117","Other Body Fluid","Hematology","42867-2"
